tenor,rate
1W,0.036082000000000003
2W,0.036193000000000003
3W,0.036215000000000004
1M,0.036282999999999996
2M,0.036488
3M,0.036633499999999999
4M,0.036867499999999997
5M,0.037079000000000001
6M,0.037291999999999999
9M,0.038075499999999998
1Y,0.038790999999999999
18M,0.039196800000000004
2Y,0.039390500000000002
3Y,0.039275400000000002
4Y,0.039205499999999997
5Y,0.039295099999999999
6Y,0.039528500000000001
7Y,0.039813000000000001
8Y,0.040118500000000001
9Y,0.040439499999999996
10Y,0.040770999999999995
12Y,0.041433499999999998
15Y,0.042305000000000002
20Y,0.043022900000000003
25Y,0.042973299999999999
30Y,0.0425875
