expiry_label,underlying_tenor,value
1M,1Y,75.700000000000003
1M,2Y,83.299999999999997
1M,3Y,80.299999999999997
1M,4Y,76.700000000000003
1M,5Y,73.700000000000003
1M,7Y,68.099999999999994
1M,10Y,63.100000000000001
1M,15Y,59.899999999999999
1M,20Y,57.399999999999999
1M,25Y,57.399999999999999
1M,30Y,57.5
3M,1Y,84
3M,2Y,88.400000000000006
3M,3Y,85.099999999999994
3M,4Y,82.400000000000006
3M,5Y,79.700000000000003
3M,7Y,75
3M,10Y,69.400000000000006
3M,15Y,66.5
3M,20Y,64.400000000000006
3M,25Y,63.5
3M,30Y,62.799999999999997
6M,1Y,90
6M,2Y,90.299999999999997
6M,3Y,87
6M,4Y,84.5
6M,5Y,81.900000000000006
6M,7Y,77.799999999999997
6M,10Y,73
6M,15Y,69.900000000000006
6M,20Y,67.700000000000003
6M,25Y,66.700000000000003
6M,30Y,66
9M,1Y,93.200000000000003
9M,2Y,91.700000000000003
9M,3Y,88.599999999999994
9M,4Y,85.599999999999994
9M,5Y,82.599999999999994
9M,7Y,78.900000000000006
9M,10Y,74.799999999999997
9M,15Y,71.799999999999997
9M,20Y,69.799999999999997
9M,25Y,68.799999999999997
9M,30Y,68.400000000000006
1Y,1Y,96.400000000000006
1Y,2Y,93.400000000000006
1Y,3Y,89.299999999999997
1Y,4Y,86.599999999999994
1Y,5Y,83.799999999999997
1Y,7Y,80.099999999999994
1Y,10Y,76.299999999999997
1Y,15Y,73.5
1Y,20Y,71.599999999999994
1Y,25Y,70.599999999999994
1Y,30Y,70.200000000000003
2Y,1Y,94
2Y,2Y,90.700000000000003
2Y,3Y,88.200000000000003
2Y,4Y,86
2Y,5Y,83.900000000000006
2Y,7Y,80.900000000000006
2Y,10Y,78
2Y,15Y,75.400000000000006
2Y,20Y,74.099999999999994
2Y,25Y,73.400000000000006
2Y,30Y,73.099999999999994
3Y,1Y,91.400000000000006
3Y,2Y,88.5
3Y,3Y,86.400000000000006
3Y,4Y,84.599999999999994
3Y,5Y,82.900000000000006
3Y,7Y,80.799999999999997
3Y,10Y,78.799999999999997
3Y,15Y,76.299999999999997
3Y,20Y,75.099999999999994
3Y,25Y,74.400000000000006
3Y,30Y,74.099999999999994
4Y,1Y,88.799999999999997
4Y,2Y,86.299999999999997
4Y,3Y,85
4Y,4Y,83.5
4Y,5Y,82.099999999999994
4Y,7Y,80.599999999999994
4Y,10Y,79.099999999999994
4Y,15Y,76.5
4Y,20Y,75.400000000000006
4Y,25Y,74.700000000000003
4Y,30Y,74.5
5Y,1Y,86.900000000000006
5Y,2Y,84.900000000000006
5Y,3Y,83.599999999999994
5Y,4Y,82.700000000000003
5Y,5Y,81.700000000000003
5Y,7Y,80.400000000000006
5Y,10Y,78.900000000000006
5Y,15Y,76.299999999999997
5Y,20Y,75.200000000000003
5Y,25Y,74.5
5Y,30Y,74.299999999999997
6Y,1Y,85.099999999999994
6Y,2Y,83.700000000000003
6Y,3Y,82.5
6Y,4Y,81.799999999999997
6Y,5Y,81
6Y,7Y,79.900000000000006
6Y,10Y,78.799999999999997
6Y,15Y,76.099999999999994
6Y,20Y,75.099999999999994
6Y,25Y,74.400000000000006
6Y,30Y,74.200000000000003
7Y,1Y,83.700000000000003
7Y,2Y,82.900000000000006
7Y,3Y,81.799999999999997
7Y,4Y,81.099999999999994
7Y,5Y,80.5
7Y,7Y,79.599999999999994
7Y,10Y,78.599999999999994
7Y,15Y,75.799999999999997
7Y,20Y,74.799999999999997
7Y,25Y,74.200000000000003
7Y,30Y,73.900000000000006
8Y,1Y,83
8Y,2Y,82.099999999999994
8Y,3Y,81.200000000000003
8Y,4Y,80.799999999999997
8Y,5Y,80.299999999999997
8Y,7Y,79.400000000000006
8Y,10Y,78.400000000000006
8Y,15Y,75.599999999999994
8Y,20Y,74.599999999999994
8Y,25Y,73.900000000000006
8Y,30Y,73.700000000000003
9Y,1Y,82.5
9Y,2Y,81.700000000000003
9Y,3Y,80.900000000000006
9Y,4Y,80.5
9Y,5Y,80.099999999999994
9Y,7Y,79.099999999999994
9Y,10Y,78
9Y,15Y,75.200000000000003
9Y,20Y,74.299999999999997
9Y,25Y,73.599999999999994
9Y,30Y,73.400000000000006
10Y,1Y,82.200000000000003
10Y,2Y,81.200000000000003
10Y,3Y,80.400000000000006
10Y,4Y,80.200000000000003
10Y,5Y,79.900000000000006
10Y,7Y,78.799999999999997
10Y,10Y,77.5
10Y,15Y,74.700000000000003
10Y,20Y,73.799999999999997
10Y,25Y,73.099999999999994
10Y,30Y,72.900000000000006
15Y,1Y,80.099999999999994
15Y,2Y,79.599999999999994
15Y,3Y,78.900000000000006
15Y,4Y,78.200000000000003
15Y,5Y,77.5
15Y,7Y,76.200000000000003
15Y,10Y,74.599999999999994
15Y,15Y,71.799999999999997
15Y,20Y,70.799999999999997
15Y,25Y,70.200000000000003
15Y,30Y,70.099999999999994
20Y,1Y,78.299999999999997
20Y,2Y,78
20Y,3Y,76.299999999999997
20Y,4Y,75.5
20Y,5Y,74.5
20Y,7Y,73.400000000000006
20Y,10Y,72
20Y,15Y,69.200000000000003
20Y,20Y,68.200000000000003
20Y,25Y,67.799999999999997
20Y,30Y,67.599999999999994
25Y,1Y,75.5
25Y,2Y,75.5
25Y,3Y,74.799999999999997
25Y,4Y,73.400000000000006
25Y,5Y,71.900000000000006
25Y,7Y,71
25Y,10Y,69.599999999999994
25Y,15Y,66.700000000000003
25Y,20Y,65.900000000000006
25Y,25Y,65.5
25Y,30Y,65.400000000000006
30Y,1Y,72.799999999999997
30Y,2Y,74.799999999999997
30Y,3Y,73.400000000000006
30Y,4Y,71.700000000000003
30Y,5Y,69.900000000000006
30Y,7Y,68.5
30Y,10Y,66.299999999999997
30Y,15Y,63.399999999999999
30Y,20Y,62.700000000000003
30Y,25Y,62.399999999999999
30Y,30Y,62.299999999999997
