Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,121.86,129.41,123.79000000000001,115.84,112.62,109.98,106.06
3M,119.90000000000001,116.40000000000001,111.40000000000001,102.28,97.069999999999993,92.719999999999999,88.579999999999998
6M,114.2,110.04000000000001,100.98,94.019999999999996,88.77000000000001,84.489999999999995,84.310000000000002
9M,111.39,106.76000000000001,97.629999999999995,91.650000000000006,87.580000000000013,84.400000000000006,83.240000000000009
1Y,108.68000000000001,103.84,94.790000000000006,89.25,86.240000000000009,83.939999999999998,82.079999999999998
2Y,101.29000000000001,100.23,92.129999999999995,87.640000000000001,84.670000000000002,82.840000000000003,81.879999999999995
3Y,98.959999999999994,96.069999999999993,90.420000000000002,87.240000000000009,84.240000000000009,82.549999999999997,81.519999999999996
5Y,94.359999999999999,91.640000000000001,88.759999999999991,86.859999999999999,83.870000000000005,82.489999999999995,81.489999999999995
7Y,90.75,90.019999999999996,87.289999999999992,86.189999999999998,83.310000000000002,82.230000000000004,81.290000000000006
10Y,88.509999999999991,87.620000000000005,86.88000000000001,84.840000000000003,81.939999999999998,80.829999999999998,79.899999999999991
15Y,85.599999999999994,85.620000000000005,83.670000000000002,81.590000000000003,78.450000000000003,77.109999999999999,76.489999999999995
20Y,83.340000000000003,83.540000000000006,80.219999999999999,78.439999999999998,75.219999999999999,74,73.27000000000001
30Y,77.070000000000007,79.239999999999995,74.930000000000007,71.450000000000003,68.640000000000001,67.650000000000006,68.179999999999993
