Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,90.849999999999994,96.939999999999998,86.109999999999999,76.170000000000002,73.810000000000002,71.819999999999993,67.960000000000008
3M,94.629999999999995,93.599999999999994,83.579999999999998,74.420000000000002,71.199999999999989,68.649999999999991,67.739999999999995
6M,96.469999999999999,96.640000000000001,82.700000000000003,75.310000000000002,71.790000000000006,69.129999999999995,68.27000000000001
9M,97.950000000000003,95.700000000000003,83.310000000000002,75.590000000000003,72.63000000000001,70.430000000000007,69.290000000000006
1Y,99.140000000000001,94.950000000000003,84.060000000000002,75.899999999999991,73.340000000000003,71.370000000000005,70.239999999999995
2Y,93.150000000000006,89.829999999999998,82.72999999999999,76.760000000000005,74.460000000000008,73.150000000000006,72.030000000000001
3Y,89.069999999999993,87.060000000000002,81.200000000000003,76.900000000000006,74.570000000000007,73.409999999999997,72.549999999999997
5Y,84.260000000000005,83.030000000000001,79.810000000000002,76.629999999999995,74.13000000000001,73.129999999999995,72.280000000000001
7Y,81.319999999999993,80.719999999999999,78.629999999999995,76.189999999999998,73.530000000000001,72.570000000000007,71.760000000000005
10Y,80.099999999999994,79.079999999999998,77.420000000000002,74.700000000000003,72.070000000000007,71.179999999999993,70.280000000000001
15Y,78.140000000000001,77.550000000000011,75.109999999999999,71.910000000000011,69.240000000000009,68.310000000000002,67.75
20Y,76.469999999999999,76.079999999999998,72.200000000000003,69.259999999999991,66.579999999999998,65.840000000000003,65.579999999999998
30Y,71.140000000000001,73.099999999999994,67.719999999999999,64.090000000000003,61.840000000000003,61.259999999999998,60.959999999999994
