Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,75.739999999999995,83.390000000000001,73.629999999999995,63.32,60.18,57.609999999999999,57.590000000000003
3M,83.980000000000004,88.359999999999999,79.549999999999997,69.280000000000001,66.349999999999994,64.239999999999995,62.780000000000001
6M,89.969999999999999,90.349999999999994,81.790000000000006,73.079999999999998,69.950000000000003,67.75,66.340000000000003
9M,93.400000000000006,91.900000000000006,82.670000000000002,74.799999999999997,71.930000000000007,69.900000000000006,68.370000000000005
1Y,96.469999999999999,93.420000000000002,83.799999999999997,76.349999999999994,73.650000000000006,71.620000000000005,70.189999999999998
2Y,94.170000000000002,90.840000000000003,83.879999999999995,78.030000000000001,75.540000000000006,74.120000000000005,73.030000000000001
3Y,91.269999999999996,88.469999999999999,82.890000000000001,78.760000000000005,76.290000000000006,75.069999999999993,74.079999999999998
5Y,86.870000000000005,84.920000000000002,81.689999999999998,78.959999999999994,76.340000000000003,75.269999999999996,74.349999999999994
7Y,83.719999999999999,82.939999999999998,80.629999999999995,78.659999999999997,75.890000000000001,74.870000000000005,74.010000000000005
10Y,82.239999999999995,81.230000000000004,79.930000000000007,77.560000000000002,74.810000000000002,73.819999999999993,72.909999999999997
15Y,80.079999999999998,79.540000000000006,77.359999999999999,74.620000000000005,71.790000000000006,70.730000000000004,70.049999999999997
20Y,78.200000000000003,77.870000000000005,74.359999999999999,71.879999999999995,68.989999999999995,68.079999999999998,67.590000000000003
30Y,72.510000000000005,74.459999999999994,69.590000000000003,66.079999999999998,63.630000000000003,62.93,62.979999999999997
