Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,88.78,102.84,97.97999999999999,90.94,86.41,82.32000000000001,76.58
3M,89.92,96.23,92.0,82.99000000000001,78.11000000000001,74.17999999999999,70.78
6M,97.77,99.06,89.99,82.06,78.28,75.49,73.55000000000001
9M,100.65,98.34,90.05,82.72,79.41000000000001,76.94,75.30000000000001
1Y,102.22,98.61999999999999,90.61,83.24000000000001,80.21000000000001,78.01,76.63
2Y,98.56,95.68,89.63,83.66,80.98,79.14,78.01
3Y,96.30000000000001,93.42,88.44,84.32,81.68,80.22999999999999,79.21
5Y,91.94,90.36,86.92,84.65,81.96000000000001,80.88,79.96000000000001
7Y,88.86000000000001,88.47,86.02000000000001,84.27,81.66,80.84,79.71
10Y,87.03999999999999,86.29,85.34,83.26,80.37,79.25,78.44
15Y,84.45,84.13,82.2,79.86999999999999,76.73,75.39,75.05
20Y,81.87,81.64,78.81,76.81,73.75,72.71,72.03
30Y,75.69,77.99000000000001,73.63,70.15,67.57000000000001,66.77000000000001,67.16000000000001
