Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,157.14999999999998,172.57,159.73000000000002,144.82999999999998,141.35,137.94,126.47
3M,147.19,138.60000000000002,128.19,120.93,114.30000000000001,108.25,105.22
6M,137.64,133.43,110.08999999999999,98.64,95.47,92.9,91.36000000000001
9M,129.93,121.68,104.72999999999999,95.8,93.08000000000001,90.78999999999999,89.29
1Y,119.99,109.88,99.31,92.33000000000001,89.82000000000001,87.83000000000001,86.46000000000001
2Y,98.12,97.68,89.76,85.7,84.34,83.34,82.56
3Y,89.27000000000001,91.69,85.69,82.03999999999999,79.83,78.33999999999999,78.13
5Y,83.17,85.38,82.76,79.10000000000001,76.61,75.36,74.71000000000001
7Y,81.24000000000001,82.21,80.73,77.50999999999999,75.0,73.91,73.74
10Y,79.64999999999999,78.99000000000001,76.82000000000001,72.35000000000001,70.64,70.39,69.22
15Y,77.91,78.07,74.57000000000001,69.83999999999999,67.64,66.97,67.35
20Y,76.23,76.9,71.14,66.78999999999999,64.83,64.58,65.21
30Y,71.86999999999999,74.47000000000001,67.27999999999999,62.95,61.32000000000001,60.93000000000001,59.300000000000004
