Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,68.63,84.98,76.3,65.45,60.76,56.63,54.19
3M,74.75,85.9,78.75,69.06,65.18,62.23,59.94
6M,87.66,90.33,82.35,74.22,70.74,68.22,66.29
9M,92.72,91.53,83.83,76.17,73.12,70.88,69.18
1Y,96.19,93.52,85.67,77.87,75.06,73.04,71.56
2Y,95.22,91.98,85.83,79.53,77.26,75.77,74.68
3Y,92.51,89.91,85.09,80.57,78.23,77.02,76.07
5Y,88.52,87.32,83.78,81.18,78.62,77.64,76.76
7Y,85.68,85.32,83.09,80.99,78.31,77.39,76.47
10Y,84.1,83.31,82.15,79.79,77.08,76.11,75.23
15Y,81.95,81.41,79.31,76.6,73.64,72.45,72.1
20Y,79.56,79.2,76.11,73.72,70.84,69.96,69.44
30Y,73.71,75.93,71.21,67.67,65.29,64.62,64.73
