expiry,tenor,is_target,bias,n_obs,oos_benefit,bias_vol,mean_fit_bias,weight,effective_bias,decision
1M,1Y,True,0.0,0,,,,0.0,0.0,target
1M,2Y,True,0.0,0,,,,0.0,0.0,target
1M,3Y,False,-0.6952787842736194,253,1.2551380458687955,1.0098045163386367,-2.776827636016436,1.0,-0.6952787842736194,apply
1M,4Y,False,-0.5740338273096421,253,0.38005579835653047,0.9561038470091012,-1.5039351599560817,1.0,-0.5740338273096421,apply
1M,5Y,True,0.0,0,,,,0.0,0.0,target
1M,7Y,False,-0.32336577026519847,253,0.5763063437786493,0.5110777039944262,-1.2413941344804387,1.0,-0.32336577026519847,apply
1M,10Y,True,0.0,0,,,,0.0,0.0,target
1M,15Y,False,0.012796635020744889,253,0.25304423102225915,0.758316304800255,1.1279723182253203,1.0,0.012796635020744889,apply
1M,20Y,True,0.0,0,,,,0.0,0.0,target
1M,25Y,False,0.07158438398827675,253,0.08728369782466527,0.20180472606959188,0.42740716497638703,1.0,0.07158438398827675,apply
1M,30Y,True,0.0,0,,,,0.0,0.0,target
3M,1Y,True,0.0,0,,,,0.0,0.0,target
3M,2Y,True,0.0,0,,,,0.0,0.0,target
3M,3Y,False,-0.6741591929794668,253,0.6792115371908605,1.0450230024792806,-1.7426085824566633,1.0,-0.6741591929794668,apply
3M,4Y,False,-0.46169610302000974,253,0.5764717881068857,0.5090503321221205,-1.25771114572548,1.0,-0.46169610302000974,apply
3M,5Y,True,0.0,0,,,,0.0,0.0,target
3M,7Y,False,-0.26521123434805643,253,0.47107972777393603,0.393466573602172,-0.9372416826861508,1.0,-0.26521123434805643,apply
3M,10Y,True,0.0,0,,,,0.0,0.0,target
3M,15Y,False,0.3862576847356919,253,0.1977322245372608,0.5011213397963443,0.8607600915657907,1.0,0.3862576847356919,apply
3M,20Y,True,0.0,0,,,,0.0,0.0,target
3M,25Y,False,-0.025305259470406252,253,0.06803723426979913,0.37104303910831327,0.28841817908015716,0.777317315460979,-0.019670216358579705,shrink
3M,30Y,True,0.0,0,,,,0.0,0.0,target
6M,1Y,True,0.0,0,,,,0.0,0.0,target
6M,2Y,True,0.0,0,,,,0.0,0.0,target
6M,3Y,False,-0.6198341097723948,253,0.29264662692155685,0.5354137387755485,-0.9349458461952742,1.0,-0.6198341097723948,apply
6M,4Y,False,-0.34808285948729056,253,0.1859706974412415,0.35994004217336417,-0.6960215973700731,1.0,-0.34808285948729056,apply
6M,5Y,True,0.0,0,,,,0.0,0.0,target
6M,7Y,False,-0.16261256047197598,253,0.3053524365540505,0.30396245384356024,-0.6787897707329055,1.0,-0.16261256047197598,apply
6M,10Y,True,0.0,0,,,,0.0,0.0,target
6M,15Y,False,0.2885446800778066,253,0.13437876415305128,0.4671257903931755,0.6722651721015828,1.0,0.2885446800778066,apply
6M,20Y,True,0.0,0,,,,0.0,0.0,target
6M,25Y,False,-0.05271006493144367,253,0.02338515443040684,0.2955751242733937,0.19849438418300816,0.6715530769748057,-0.035397606292252796,shrink
6M,30Y,True,0.0,0,,,,0.0,0.0,target
9M,1Y,False,-0.49319479313471315,253,0.301674947807165,0.6149200625596223,-1.2748184642376996,1.0,-0.49319479313471315,apply
9M,2Y,False,-0.2875213160501704,253,0.03003521220747074,0.22664577496643407,-0.35817308447646895,1.0,-0.2875213160501704,apply
9M,3Y,False,-0.6678537778755534,253,0.02159607389993745,0.43598770345030785,-0.3643269044533336,0.8356357336918749,-0.5580824816739286,shrink
9M,4Y,False,-0.3498603380868186,253,-0.021166354507861307,0.3116569797222598,-0.1490096557313996,0.0,-0.0,zero
9M,5Y,False,-0.0799452431495972,253,-0.031655409718350014,0.1386238832501096,0.08051736744668302,0.0,-0.0,zero
9M,7Y,False,-0.25908408058804905,253,0.10436645840322989,0.15390650527585234,-0.3951203676455763,1.0,-0.25908408058804905,apply
9M,10Y,False,-0.08662663894973541,253,0.008963205505586713,0.1412581350353818,0.13375256174694894,0.9468662580986724,-0.08202384147400067,shrink
9M,15Y,False,0.1407591522394827,253,0.29932817455398697,0.3545143193286555,0.7938586085730878,1.0,0.1407591522394827,apply
9M,20Y,False,-0.09200912904392763,253,0.004326901552845985,0.1386073708991707,0.14323823833631302,1.0,-0.09200912904392763,apply
9M,25Y,False,-0.16130393508778404,253,0.0320986619739036,0.3519161036633327,0.20782187073275354,0.5905437931637545,-0.09525703767898001,shrink
9M,30Y,False,-0.09751660788448034,253,-0.0011555777971486436,0.11736440464140428,0.11113431831742869,0.0,-0.0,zero
1Y,1Y,True,0.0,0,,,,0.0,0.0,target
1Y,2Y,True,0.0,0,,,,0.0,0.0,target
1Y,3Y,False,-0.2864612649257232,253,-0.013536587429478164,0.43281813018755994,0.2265700872633446,0.0,-0.0,zero
1Y,4Y,False,-0.10855511209487229,253,-0.10435624871395399,0.44615725228409014,0.1356900041869692,0.0,-0.0,zero
1Y,5Y,True,0.0,0,,,,0.0,0.0,target
1Y,7Y,False,-0.19375757536595506,253,0.0726409386683613,0.24043427300550413,-0.38429140270938894,1.0,-0.19375757536595506,apply
1Y,10Y,True,0.0,0,,,,0.0,0.0,target
1Y,15Y,False,0.20491170138131728,253,0.2495706603382556,0.2971833196681123,0.6251285910783523,1.0,0.20491170138131728,apply
1Y,20Y,True,0.0,0,,,,0.0,0.0,target
1Y,25Y,False,-0.09439047327340655,253,-0.007899518052816412,0.20548922157943428,-0.020343512427078048,0.0,-0.0,zero
1Y,30Y,True,0.0,0,,,,0.0,0.0,target
2Y,1Y,True,0.0,0,,,,0.0,0.0,target
2Y,2Y,True,0.0,0,,,,0.0,0.0,target
2Y,3Y,False,-0.08211039284061378,253,-0.02501557578576241,0.3071924197201802,0.18278165406909902,0.0,-0.0,zero
2Y,4Y,False,0.04230542223898928,253,0.018657086603352524,0.19674901415294094,0.18265436913080607,0.928362309296358,0.03927475948554559,shrink
2Y,5Y,True,0.0,0,,,,0.0,0.0,target
2Y,7Y,False,-0.22815530910855694,253,0.18275032525390322,0.09564862754381684,-0.3704561298243345,1.0,-0.22815530910855694,apply
2Y,10Y,True,0.0,0,,,,0.0,0.0,target
2Y,15Y,False,0.07360478986335581,253,0.20167798729966557,0.22708109174244806,0.5008198646366653,1.0,0.07360478986335581,apply
2Y,20Y,True,0.0,0,,,,0.0,0.0,target
2Y,25Y,False,-0.0884293297767012,253,0.08976201844663995,0.11093778765833233,-0.2624781068709417,1.0,-0.0884293297767012,apply
2Y,30Y,True,0.0,0,,,,0.0,0.0,target
3Y,1Y,False,0.007939538179235891,253,-0.014548329385032366,0.26406030515714995,-0.0026157530834565236,0.0,0.0,zero
3Y,2Y,False,-0.04678736928676568,253,-0.024746574692936396,0.24093460109362927,0.03380657445524548,0.0,-0.0,zero
3Y,3Y,False,-0.15229979387199213,253,9.273212713856172e-05,0.2412486918420677,0.15399533752424288,0.6383261038574053,-0.09721693404059467,shrink
3Y,4Y,False,-0.038497013698029325,253,-0.017114085723313688,0.1869046419134094,0.08503379356694506,0.0,-0.0,zero
3Y,5Y,False,-0.13352309284692798,253,0.0027210369410772817,0.1757629517156172,-0.03410809563215083,0.1940573670345353,-0.025911139836182637,shrink
3Y,7Y,False,-0.369229759264615,253,0.21717944689805035,0.06911517975286356,-0.39299170981739207,1.0,-0.369229759264615,apply
3Y,10Y,False,-0.14188965879565466,253,0.1377275497486684,0.0661270738616864,-0.2730010506967455,1.0,-0.14188965879565466,apply
3Y,15Y,False,-0.13106530545475284,253,0.0415625351702541,0.18502123992326178,0.211152959804307,1.0,-0.13106530545475284,apply
3Y,20Y,False,-0.1139466397979303,253,0.055191896069778285,0.05735132446886574,-0.170394797580994,1.0,-0.1139466397979303,apply
3Y,25Y,False,-0.20001852904128803,253,0.2897874664620753,0.1758174270123353,-0.526726930181624,1.0,-0.20001852904128803,apply
3Y,30Y,False,-0.10135709144057845,253,0.08274159418565794,0.04468683419012932,-0.21012797881517514,1.0,-0.10135709144057845,apply
4Y,1Y,False,-0.052218131107381334,253,-0.02130281373253995,0.26895805083395385,0.09103486662544044,0.0,-0.0,zero
4Y,2Y,False,-0.08602440976230455,253,-0.013214141085460596,0.23814999320309918,0.1485231558228587,0.0,-0.0,zero
4Y,3Y,False,-0.08143270357353251,253,0.037163874401340724,0.26135007347091727,0.21900039522924078,0.8379580396544671,-0.06823718865024062,shrink
4Y,4Y,False,-0.09520081396398411,253,-0.04152357252965916,0.18183487408251658,0.03361153672839676,0.0,-0.0,zero
4Y,5Y,False,-0.1450073348204509,253,0.03790563111108908,0.10707386424561384,-0.18184037473570783,1.0,-0.1450073348204509,apply
4Y,7Y,False,-0.36869059290816586,253,0.19594566295946303,0.11552133319831516,-0.36976780628714173,1.0,-0.36869059290816586,apply
4Y,10Y,False,-0.19345448145021804,253,0.19199313343867458,0.12186324416375645,-0.3579960901759354,1.0,-0.19345448145021804,apply
4Y,15Y,False,-0.2960710199085303,253,0.019945896015323594,0.28912085037743646,0.07589667825442208,0.2625084913638771,-0.07772115677275271,shrink
4Y,20Y,False,-0.15211946170976207,253,0.13315227091226492,0.11286082170467424,-0.28175550484598283,1.0,-0.15211946170976207,apply
4Y,25Y,False,-0.24319744153553993,253,0.3641753332777664,0.23601614383424593,-0.6212253438457133,1.0,-0.24319744153553993,apply
4Y,30Y,False,-0.13965947584619742,253,0.14442542899742383,0.1090281425063525,-0.2854388565231541,1.0,-0.13965947584619742,apply
5Y,1Y,True,0.0,0,,,,0.0,0.0,target
5Y,2Y,True,0.0,0,,,,0.0,0.0,target
