expiry,tenor,is_target,bias,expiry_years,tenor_years,terminal,n_obs,zone,effective_bias
1M,1Y,True,0.0,0.08333333333333333,1.0,1.0833333333333333,0,target,0.0
1M,2Y,True,0.0,0.08333333333333333,2.0,2.0833333333333335,0,target,0.0
1M,3Y,False,-0.6952787842736194,0.08333333333333333,3.0,3.0833333333333335,253,short_zero,0.0
1M,4Y,False,-0.5740338273096421,0.08333333333333333,4.0,4.083333333333333,253,short_zero,0.0
1M,5Y,True,0.0,0.08333333333333333,5.0,5.083333333333333,0,target,0.0
1M,7Y,False,-0.32336577026519847,0.08333333333333333,7.0,7.083333333333333,253,short_zero,0.0
1M,10Y,True,0.0,0.08333333333333333,10.0,10.083333333333334,0,target,0.0
1M,15Y,False,0.012796635020744889,0.08333333333333333,15.0,15.083333333333334,253,short_zero,0.0
1M,20Y,True,0.0,0.08333333333333333,20.0,20.083333333333332,0,target,0.0
1M,25Y,False,0.07158438398827675,0.08333333333333333,25.0,25.083333333333332,253,short_zero,0.0
1M,30Y,True,0.0,0.08333333333333333,30.0,30.083333333333332,0,target,0.0
3M,1Y,True,0.0,0.25,1.0,1.25,0,target,0.0
3M,2Y,True,0.0,0.25,2.0,2.25,0,target,0.0
3M,3Y,False,-0.6741591929794668,0.25,3.0,3.25,253,short_zero,0.0
3M,4Y,False,-0.46169610302000974,0.25,4.0,4.25,253,short_zero,0.0
3M,5Y,True,0.0,0.25,5.0,5.25,0,target,0.0
3M,7Y,False,-0.26521123434805643,0.25,7.0,7.25,253,short_zero,0.0
3M,10Y,True,0.0,0.25,10.0,10.25,0,target,0.0
3M,15Y,False,0.3862576847356919,0.25,15.0,15.25,253,short_zero,0.0
3M,20Y,True,0.0,0.25,20.0,20.25,0,target,0.0
3M,25Y,False,-0.025305259470406252,0.25,25.0,25.25,253,short_zero,0.0
3M,30Y,True,0.0,0.25,30.0,30.25,0,target,0.0
6M,1Y,True,0.0,0.5,1.0,1.5,0,target,0.0
6M,2Y,True,0.0,0.5,2.0,2.5,0,target,0.0
6M,3Y,False,-0.6198341097723948,0.5,3.0,3.5,253,short_zero,0.0
6M,4Y,False,-0.34808285948729056,0.5,4.0,4.5,253,short_zero,0.0
6M,5Y,True,0.0,0.5,5.0,5.5,0,target,0.0
6M,7Y,False,-0.16261256047197598,0.5,7.0,7.5,253,short_zero,0.0
6M,10Y,True,0.0,0.5,10.0,10.5,0,target,0.0
6M,15Y,False,0.2885446800778066,0.5,15.0,15.5,253,short_zero,0.0
6M,20Y,True,0.0,0.5,20.0,20.5,0,target,0.0
6M,25Y,False,-0.05271006493144367,0.5,25.0,25.5,253,short_zero,0.0
6M,30Y,True,0.0,0.5,30.0,30.5,0,target,0.0
9M,1Y,False,-0.49319479313471315,0.75,1.0,1.75,253,short_zero,0.0
